Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""kong/Page_Zetta Decision/div_ - Copy""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:23,2022-02-15 18:20:23,0.679s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/div_""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:23,2022-02-15 18:20:24,0.522s,PASSED
"click(findTestObject(""kong/Page_Zetta Decision/div__1 - Copy""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:24,2022-02-15 18:20:24,0.538s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/div__1""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:24,2022-02-15 18:20:25,0.605s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:25,2022-02-15 18:20:26,0.601s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/a_""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:26,2022-02-15 18:20:28,2.022s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1_2_3_4_5""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:28,2022-02-15 18:20:28,0.665s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/svg""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:28,2022-02-15 18:21:00,32.091s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__ant-tree-checkbox-inner""))",Chrome 98.0.4758.80,,,2022-02-15 18:21:00,2022-02-15 18:21:01,0.426s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1_2_3_4_5_6""))",Chrome 98.0.4758.80,,,2022-02-15 18:21:01,2022-02-15 18:21:02,0.677s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1""))",Chrome 98.0.4758.80,,,2022-02-15 18:21:02,2022-02-15 18:21:34,32.031s,PASSED
"verifyElementText(findTestObject(""kong/Page_Zetta Decision/check_2""), ""手机号"")",Chrome 98.0.4758.80,,,2022-02-15 18:21:34,2022-02-15 18:21:35,0.982s,PASSED
,,,,,,,
Test Cases/删除业务模型,Chrome 98.0.4758.80,,,2022-02-15 18:26:52,2022-02-15 18:26:58,5.972s,FAILED
"openBrowser("""")",Chrome 98.0.4758.80,,,2022-02-15 18:26:52,2022-02-15 18:26:55,3.129s,PASSED
"navigateToUrl(""http://121.40.154.50:8049/login"")",Chrome 98.0.4758.80,,,2022-02-15 18:26:55,2022-02-15 18:26:58,2.644s,PASSED
"setText(findTestObject(""Object Repository/Page_Zetta Decision/input_Name_loginName""), ""13666666666"")",Chrome 98.0.4758.80,,,2022-02-15 18:26:58,2022-02-15 18:26:58,0.173s,FAILED
